,product_id,current_date,current_stock,predicted_sales,future_week,need_buy,quant_needed
0,P0015,2019-09-30,10.0,0.4300452,2019-10-14,NO,0
1,P0026,2019-09-30,8.0,0.0,2019-10-14,NO,0
2,P0035,2019-09-30,13.0,0.717025,2019-10-14,NO,0
3,P0051,2019-09-30,2.0,0.42366424,2019-10-14,NO,0
4,P0055,2019-09-30,10.0,0.0,2019-10-14,NO,0
5,P0061,2019-09-30,2.0,0.0,2019-10-14,NO,0
6,P0090,2019-09-30,16.0,0.19264393,2019-10-14,NO,0
7,P0100,2019-09-30,1.0,0.17069484,2019-10-14,NO,0
8,P0103,2019-09-30,0.0,9.009973,2019-10-14,YES,10
9,P0114,2019-09-30,23.0,1.2311075,2019-10-14,NO,0
10,P0116,2019-09-30,11.0,1.0080386,2019-10-14,NO,0
11,P0125,2019-09-30,17.0,1.8324195,2019-10-14,NO,0
12,P0129,2019-09-30,5.0,0.14600813,2019-10-14,NO,0
13,P0131,2019-09-30,18.0,4.097659,2019-10-14,NO,0
14,P0140,2019-09-23,5.0,0.5209609,2019-10-07,NO,0
15,P0171,2019-09-30,6.0,0.17277889,2019-10-14,NO,0
16,P0182,2019-09-30,1.0,0.93768054,2019-10-14,YES,8
17,P0206,2019-09-30,70.0,0.32576123,2019-10-14,NO,0
18,P0210,2019-09-30,6.0,0.0,2019-10-14,NO,0
19,P0260,2019-09-30,5.0,0.016772501,2019-10-14,NO,0
20,P0261,2019-09-30,18.0,1.5945612,2019-10-14,NO,0
21,P0269,2019-09-30,7.0,1.3254809,2019-10-14,NO,0
22,P0277,2019-09-30,13.0,1.3424668,2019-10-14,NO,0
23,P0286,2019-09-30,27.0,0.75420874,2019-10-14,NO,0
24,P0296,2019-09-30,5.0,7.197199,2019-10-14,YES,4
25,P0311,2019-09-23,0.0,0.69357175,2019-10-07,YES,1
26,P0318,2019-09-30,3.0,0.0,2019-10-14,YES,2
27,P0325,2019-09-30,21.0,0.48461315,2019-10-14,NO,0
28,P0333,2019-09-30,17.0,3.4425519,2019-10-14,NO,0
29,P0348,2019-09-30,3.0,0.42874882,2019-10-14,NO,0
30,P0364,2019-09-30,21.0,4.8276596,2019-10-14,NO,0
31,P0372,2019-09-30,48.0,0.7580283,2019-10-14,NO,0
32,P0374,2019-09-30,1.0,0.002348579,2019-10-14,YES,1
33,P0388,2019-09-30,0.0,5.0805316,2019-10-14,YES,6
34,P0390,2019-09-30,3.0,0.17890058,2019-10-14,NO,0
35,P0400,2019-09-30,2.0,0.0,2019-10-14,NO,0
36,P0428,2019-09-30,5.0,0.2949937,2019-10-14,NO,0
37,P0436,2019-09-30,17.0,6.825098,2019-10-14,NO,0
38,P0453,2019-09-30,0.0,0.0,2019-10-14,YES,1
39,P0483,2019-09-30,3.0,0.13785584,2019-10-14,NO,0
40,P0499,2019-09-30,18.0,1.7651131,2019-10-14,NO,0
41,P0500,2019-09-30,20.0,0.96710265,2019-10-14,NO,0
42,P0512,2019-09-23,0.0,1.1224878,2019-10-07,YES,3
43,P0514,2019-09-23,0.0,0.105787516,2019-10-07,YES,2
44,P0536,2019-09-30,16.0,0.42082757,2019-10-14,NO,0
45,P0548,2019-09-30,36.0,8.0,2019-10-14,NO,0
46,P0549,2019-09-30,5.0,0.0,2019-10-14,NO,0
47,P0559,2019-09-30,1.0,0.0,2019-10-14,YES,8
48,P0569,2019-09-30,38.0,8.739407,2019-10-14,NO,0
49,P0570,2019-09-30,2.0,0.0,2019-10-14,NO,0
50,P0590,2019-09-30,22.0,0.5353626,2019-10-14,NO,0
51,P0611,2019-09-30,3.0,0.0,2019-10-14,NO,0
52,P0614,2019-09-30,0.0,0.114696145,2019-10-14,YES,1
53,P0625,2019-09-30,1.0,0.0,2019-10-14,NO,0
54,P0639,2019-09-30,3.0,0.42845887,2019-10-14,YES,2
55,P0642,2019-09-30,7.0,0.4532517,2019-10-14,NO,0
56,P0658,2019-09-30,3.0,0.0,2019-10-14,NO,0
57,P0663,2019-09-30,10.0,1.9223158,2019-10-14,NO,0
58,P0664,2019-09-30,8.0,1.9671658,2019-10-14,NO,0
59,P0676,2019-09-30,12.0,0.0,2019-10-14,NO,0
60,P0680,2019-09-30,10.0,0.39891395,2019-10-14,NO,0
61,P0694,2019-09-30,2.0,1.3608767,2019-10-14,YES,1
62,P0709,2019-09-30,9.0,5.156817,2019-10-14,NO,0
63,P0711,2019-09-30,25.0,0.0,2019-10-14,NO,0
64,P0718,2019-09-30,5.0,0.34148613,2019-10-14,YES,1
65,P0729,2019-09-30,2.0,0.0,2019-10-14,YES,4
